Credit Score,SSN,Age,Occupation,Annual Income,Delayed Payments,Debt,Musician,Journalist,Doctor,MediaManager,Mechanic,Lawyer,Entrepreneur,Teacher,Scientist, Engineer, Accountant,Manager,Writer,Developer,Architect,Home Equity Loan,Auto Loan,Mortgage Loan,Not Specified,Personal Loan,Payday Loan,Student Loan,Credit-Builder Loan,Debt Consolidation Loan
Standard,220-68-1404,54,Musician,94639.11,16,680.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Standard,225-01-5244,1435,Mechanic,73773.48,13,2380.66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
Good,767-68-3847,7651,MediaManager,18995.115,nan,1077.49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Poor,645-72-5423,25,Accountant,9166.465,18,1943.21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
Standard,178-07-7586,15,Musician,104658.75,11,1218.42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Standard,910-60-1253,24,Manager,88346.48,13,1392.71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Poor,380-53-7048,43,Entrepreneur,7097.015,24,3886.64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
Poor,109-02-5661,15,Writer,9298.42,20,2820.44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0
Good,308-25-6929,50,Manager,44708.14,1,352.44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Good,726-51-0453,48,Lawyer,28225.49,1,245.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Standard,296-71-4680,-500,Developer,20022.29,21,4697.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
Good,695-62-7237,29,Writer,18949.48,5,1002.97,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Poor,227-96-9535,37,Entrepreneur,32470.08,14,1456.87,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Standard,865-79-1559,19,MediaManager,40854.02,nan,462.84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Standard,206-71-5245,27,Lawyer,25198.19,6,1261.93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
Good,337-71-0334,18,Doctor,19125.75,11,1243.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Good,821-00-0265,-500,Scientist,19114.12,7,809.98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Standard,898-73-7249,23,Teacher,109323.4,12,365.39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
Standard,411-37-9487,24,Mechanic,16229.86,26,3138.55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Standard,503-21-2410,27,Lawyer,11654.425,16,1154.58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Standard,567-29-7175,27,Lawyer,11654.425,13,1154.58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Poor,386-77-8198,14,Architect,798587,17,3218.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0
Good,578-67-3819,29,Doctor,18002.675,12,698.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Poor,354-51-3405,14,Entrepreneur,34800.24,28,3645.73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
Poor,356-30-8640,14,Entrepreneur,34800.24,26,3645.73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
Good,464-69-1352,49,Journalist,71825.98,10,153.08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Standard,560-15-2864,17,Teacher,16532.33,13,2551.12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
Good,972-58-1211,49,Architect,28446.58,8,640.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
Poor,691-17-1432,39,Architect,63115.54,11,1194.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Standard,843-09-7358,46,Teacher,39305.86,15,1365.29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Standard,449-78-1167,52,Scientist,31223.33,8,906.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Standard,239-39-4735,22,Manager,9155.455,20,3914.45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
Standard,879-56-3473,34,Journalist,70978.44,17,1587.98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
Standard,925-05-6508,50,Developer,30373.35,9,791.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
Good,182-75-3598,33,Doctor,37824.65,8,69.84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Good,353-56-0782,53,Musician,66732.58,8,244.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Good,257-88-0889,18,Doctor,21480.965,5,783.47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Standard,799-33-1118,30,Lawyer,14145.77,15,4609.03,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Standard,307-73-4226,17,Lawyer,15325.73,22,4445.87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Standard,630-81-4444,49,Musician,28630.01,nan,1455.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Good,788-48-2100,31,Lawyer,41293.1,22,1416.43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Standard,099-60-2680,41,Journalist,72145.32,9,1285.49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Standard,370-51-2390,51,Musician,101583.48,8,50.93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Standard,083-35-9736,33,Musician,15660.15,14,1354.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Standard,500-54-3583,47,Developer,26340.1,nan,221.86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Standard,004-73-7665,40,Entrepreneur,19278.72,19,3036.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
Poor,342-80-5160,31,Mechanic,58427.31,21,1956.44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Poor,900-03-2348,28,Writer,14947.38,16,2059.59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
Standard,073-31-4015,33,Lawyer,90403.77,7,575.68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Poor,517-21-8392,19,Entrepreneur,9163.96,17,1685.88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Poor,064-45-0394,21,Journalist,61444.92,21,3198.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
Standard,276-61-0743,32,Writer,60243.46,9,854.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
Good,662-87-9463,34,Entrepreneur,119433.42,12,945.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
Standard,676-55-8577,34,Entrepreneur,119433.42,3456,945.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
Good,958-76-9634,21,Accountant,111642.18,10,1236.68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Poor,355-34-7507,16,Teacher,75476.72,25,1401.04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Poor,792-95-8742,16,Teacher,75476.72,25,1401.04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Standard,073-24-5469,26,Manager,44632.44,18,3409.13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0
Standard,334-77-5193,36,Musician,21863.8,12,1377.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Standard,942-81-5299,19,Writer,9067.12,22,2563,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
Good,708-01-2723,36,Writer,127770.52,10,1213.59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Poor,640-76-9557,25,Teacher,59649.39,21,4291.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
Standard,555-45-9905,24,Teacher,142152.48,12,185.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Standard,860-04-7636,18,Journalist,9092.87,17,2216.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
Poor,035-94-7779,38,Accountant,40925.46,12,1490.42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Standard,699-05-8261,-500,Teacher,117878.55,8,84.22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Poor,647-63-8564,17,MediaManager,34243.28,23,1405.24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
Standard,943-28-6353,29,Developer,91223.48,12,811.71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Poor,715-62-6122,37,Developer,8571.29,25,1716.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0
Standard,439-54-7865,-500,Architect,109322.7,11,387.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Poor,181-80-6490,51,Writer,40331.05,11,767.89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
Poor,050-78-7339,27,Entrepreneur,67512.6,11,2342.79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Poor,704-69-3409,28,Accountant,38305.28,23,1718.29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Standard,056-47-9727,25,Accountant,70646.64,8,1639.04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0
Standard,883-18-0954,28,Mechanic,107633.88,17,15.58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Standard,358-01-3272,39,Manager,42804.4,12,1389.65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Poor,199-56-9238,42,Architect,9754.75,16,4074.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Standard,667-92-0559,48,Architect,83483.96,nan,152.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Good,695-95-0589,18,Engineer,164861.36,5,455.55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Standard,717-70-6732,31,Entrepreneur,69699.66,nan,485.36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Standard,265-46-1313,33,Entrepreneur,61204.77,20,4751.96,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
Standard,763-33-5170,21,Writer,16140.325,13,382.28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Standard,318-50-9417,24,Writer,157794.6,10,1198.78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Standard,600-10-3827,40,Scientist,90662.43,7,208.35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
Good,837-11-4072,21,Scientist,20734.2,1,139.77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Standard,467-18-2266,39,Doctor,19200.08,19,1466.57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Standard,074-08-0931,45,Engineer,71554.68,16,90.14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Standard,601-74-3826,19,Teacher,72690.14,13,37.07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Poor,090-15-8892,25,Manager,17965.72,10,2654.64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Standard,231-40-8875,44,Accountant,88968.9,14,375.83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
Poor,186-94-9117,17,Architect,14099.52,17,1288.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
Standard,226-19-2220,43,Mechanic,15712.65,20,2540.41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0
Poor,296-46-5676,17,Journalist,8220.625,21,4301.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Standard,054-65-4637,51,Entrepreneur,147517.36,20,325.89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Standard,134-03-4386,29,Journalist,24308.05,10,174.32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Standard,641-58-7727,37,Journalist,145994.28,16,896.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
Good,231-11-2948,55,Entrepreneur,69823.72,1,163.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Poor,008-79-8963,30,Manager,37313.32,18,4919.69,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0
Poor,635-56-4059,30,Manager,37313.32,18,4919.69,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0
Standard,685-12-6865,-500,Lawyer,74063.28,18,1040.09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Good,577-41-6573,41,Lawyer,21120.835,nan,655.39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Poor,244-19-0739,24,Developer,17277.78,nan,1774.51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0
Good,048-98-3271,37,Developer,179072.36,11,269.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0
Standard,637-80-3236,20,Writer,38860.98,5,1008.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Standard,984-68-5298,21,Musician,163851.12,nan,533.48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Poor,916-57-9650,26,Engineer,122705.73,nan,1004.82,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Standard,528-43-8765,33,Lawyer,58424.97,19,52.98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Poor,323-10-7447,14,Engineer,36849.5,23,2327.11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0
Standard,612-68-0152,18,Engineer,9381.05,21,1625.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0
Standard,909-46-6100,27,Developer,20043.26,18,3713.24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0
Standard,771-54-0951,26,Doctor,14562.88,10,1619.56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Poor,078-20-5154,19,Journalist,10172.08,16,3539.39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
Standard,241-14-6353,38,Doctor,11923152,10,1469.91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
Good,757-87-5016,48,Doctor,18407.68,7,1199.21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Poor,107-21-6904,34,Journalist,17791.55,17,1682.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Standard,539-50-5278,28,Lawyer,38791.68,23,3772.55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
Standard,122-02-5419,42,Lawyer,10462.585,18,2057.65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Poor,081-17-7455,52,Journalist,128938.95,1,636.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Good,779-60-0339,-500,Developer,43922.32,7,233.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
Poor,324-29-0824,38,Scientist,69228.92,16,4648,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
Standard,599-00-4004,22,Mechanic,20929.34,8,695.45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Poor,067-13-9000,30,Musician,44056.29,19,1474.48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
Standard,086-28-6732,36,Lawyer,130793.12,12,298.13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Standard,797-70-1368,36,Lawyer,130793.12,10,298.13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Standard,451-74-2945,42,Doctor,31807,8,611.04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Good,589-66-2211,23,Doctor,35880.37,1,117.91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Good,910-05-8770,23,Musician,35880.37,1,117.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Poor,827-13-9020,20,Writer,32412.72,23,3632.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0
Standard,587-53-0913,45,Writer,42237.36,11,1170.65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
Poor,262-96-1321,42,Developer,18648.38,10,2056.32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
Poor,420-12-0466,19,Entrepreneur,8637.875,23,1549.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
Poor,489-56-6652,19,Entrepreneur,8637.875,23,1549.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
Poor,579-41-4525,44,MediaManager,36980.1,16,2403.26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Standard,202-04-9323,33,Writer,9133.045,16,3035.88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
Poor,341-75-1132,36,Musician,10025.2,14,1409.58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Standard,580-73-5233,48,Scientist,10682.245,19,1269.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Poor,466-27-9258,20,Doctor,53627.01,18,3796.42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0
Standard,924-66-5952,36,Manager,15509.88,nan,2664.21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
Standard,552-70-4063,24,Engineer,79439.56,11,75.76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
Standard,206-62-4836,43,Writer,13838.18,12,1381.32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0
Poor,414-33-7358,43,Writer,18465.74,20,1854.48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
Poor,093-21-1258,37,Manager,73028.88,16,3641.51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0
Standard,612-13-5545,54,Teacher,114929.01,2,742.14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
Poor,588-25-9381,33,Journalist,60694.74,13,1661.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Standard,266-04-6005,37,Journalist,20417.71,22,517.51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Standard,085-21-9898,16,Musician,16774.54,10,156.87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
Standard,564-00-4532,31,Entrepreneur,19042.82,16,659.68,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Poor,944-84-0145,-500,Mechanic,48776.85,25,2574.82,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Standard,353-93-4632,25,Architect,44784.78,23,3735.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
Poor,924-55-4713,22,Musician,19803.82,17,1958.78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
Good,484-09-6362,26,Engineer,28347.68,6,747.72,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Poor,765-21-4223,23,Accountant,38049.96,17,3143.12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0
Standard,588-36-6834,33,Accountant,19667.73,17,4526.89,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Standard,195-64-7301,-500,Writer,120789.44,11,1015.79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Poor,357-90-6128,-500,Entrepreneur,64815.64,20,2530.78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0
Poor,674-69-0430,14,Mechanic,18064.06,8,2116.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
Standard,637-19-7311,45,Mechanic,31230.16,nan,758.88,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Standard,617-55-4327,-500,Journalist,60177.04,19,765.97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Poor,269-05-1234,38,Journalist,20992.38,14,1403.86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Standard,334-38-7121,38,Writer,35669.97,13,657.81,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Good,901-06-2888,42,Journalist,61503.66,19,1150.36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
Standard,118-42-6441,39,Engineer,60031.96,25,3395.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0
Poor,016-90-7822,19,MediaManager,47733.06,20,1660.86,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
